2740 24944
1487 tender 2
1488 worked 2
1489 snuffling 1
1490 taste 2
1491 Milk 1
1492 normally 3
1493 favourite 1
1494 drink 1
1495 crawled 4
1496 centre 1
1497 Through 1
1498 crack 2
1499 gas 1
1500 lit 1
1501 sometimes 5
1502 write 1
1503 recent 1
1504 lead 1
1505 gazing 1
1506 darkness 4
1507 pride 2
1508 such 4
1509 wealth 1
1510 comfort 1
1511 frightening 2
1512 crawling 6
1513 closed 8
1514 enter 3
1515 waited 4
1516 resolved 1
1517 either 5
1518 timorous 1
1519 vain 1
1520 previous 1
1521 everyone 9
1522 unlocked 1
1523 keys 1
1524 gaslight 1
1525 awake 1
1526 distinctly 1
1527 tip-toe 3
1528 plenty 1
1529 undisturbed 1
1530 re-arrange 1
1531 tall 1
1532 empty 4
1533 forced 5
1534 remain 3
1535 uneasy 3
1536 shame 2
1537 couch 17
1538 nonetheless 3
1539 ease 1
1540 regret 3
1541 underneath 1
1542 spent 4
1543 Some 1
1544 passed 2
1545 frequently 2
1546 hunger 3
1547 vague 1
1548 hopes 1
1549 led 2
1550 conclusion 1
1551 patience 1
1552 greatest 3
1553 bear 4
1554 unpleasantness 1
1555 impose 1
1556 opportunity 2
1557 test 3
1558 decisions 1
1559 ended 1
1560 anxiously 4
1561 flown 1
1562 stranger 2
1563 edge 1
1564 watched 3
1565 Would 3
1566 realise 3
1567 rather 4
1568 hungry 2
1569 draw 2
1570 terrible 1
1571 feet 4
1572 drops 1
1573 splashed 2
1574 surprise 5
1575 rag 1
1576 bare 3
1577 carried 5
1578 imagining 1
1579 wildest 1
1580 possibilities 1
1581 guessed 1
1582 goodness 1
1583 brought 4
1584 selection 1
1585 old 12
1586 half-rotten 1
1587 vegetables 2
1588 bones 1
1589 sauce 2
1590 raisins 1
1591 almonds 1
1592 cheese 3
1593 declared 1
1594 inedible 1
1595 days 6
1596 dry 1
1597 roll 1
1598 butter 1
1599 salt 1
1600 poured 1
1601 water 2
1602 permanently 2
1603 aside 2
1604 placed 2
1605 feelings 1
1606 comfortable 3
1607 liked 3
1608 whirred 1
1609 injuries 2
1610 healed 1
1611 month 4
1612 finger 3
1613 knife 1
1614 hurt 2
1615 yesterday 1
1616 Am 1
1617 less 2
1618 sucking 1
1619 greedily 1
1620 compellingly 1
1621 attracted 1
1622 foods 2
1623 Quickly 1
1624 watering 1
1625 consumed 1
1626 stand 8
1627 Long 1
1628 lethargic 1
1629 withdraw 1
1630 startled 5
1631 asleep 5
1632 self-control 1
1633 rounded 1
1634 breathe 4
1635 Half 1
1636 suffocating 2
1637 bulging 1
1638 unselfconsciously 1
1639 broom 5
1640 swept 1
1641 left-overs 1
1642 mixing 1
1643 dropped 1
1644 bin 1
1645 lid 1
1646 received 2
1647 second 1
1648 eaten 3
1649 midday 3
1650 send 5
1651 errand 1
1652 starve 1
1653 feeding 1
1654 distress 2
1655 indeed 5
1656 suffering 1
1657 content 1
1658 sighs 1
1659 saints 1
1660 becoming 4
1661 comment 2
1662 construed 1
1663 enjoyed 1
1664 dinner 4
1665 diligently 1
1666 cleared 2
1667 sadly 1
1668 Although 2
1669 news 3
1670 directly 2
1671 rooms 2
1672 scurry 1
1673 appropriate 1
1674 press 1
1675 seldom 1
1676 mealtime 1
1677 meals 2
1678 subject 1
1679 knees 1
1680 begged 1
1681 delay 3
1682 within 1
1683 hour 2
1684 tearfully 1
1685 thanking 1
1686 dismissal 1
1687 swore 1
1688 emphatically 1
1689 cooking 1
1690 bother 1
1691 ate 3
1692 unsuccessfully 1
1693 receive 2
1694 thanks 2
1695 similar 1
1696 No-one 4
1697 drank 1
1698 beer 1
1699 hoping 1
1700 fetch 4
1701 add 1
1702 selfish 1
1703 housekeeper 1
1704 Even 2
1705 explained 1
1706 finances 1
1707 prospects 2
1708 receipt 1
1709 document 1
1710 cash 2
1711 box 1
1712 saved 1
1713 collapsed 2
1714 complicated 1
1715 taken 15
1716 item 1
1717 incarcerated 1
1718 Their 2
1719 misfortune 3
1720 reduced 2
1721 despair 3
1722 arrange 1
1723 fiery 1
1724 vigour 1
1725 junior 1
1726 representative 1
1727 overnight 1
1728 ways 1
1729 converted 1
1730 success 3
1731 benefit 1
1732 delighted 1
1733 splendour 1
1734 earned 3
1735 costs 1
1736 gratitude 2
1737 warm 3
1738 affection 1
1739 return 1
1740 Unlike 1
1741 fond 3
1742 music 7
1743 gifted 1
1744 expressive 1
1745 violinist 1
1746 plan 2
1747 conservatory 3
1748 expense 1
1749 During 2
1750 periods 1
1751 mentioned 1
1752 lovely 1
1753 decided 4
1754 planned 1
1755 grand 1
1756 announcement 1
1757 Christmas 3
1758 totally 7
1759 pointless 1
1760 tired 7
1761 continue 3
1762 wearily 1
1763 pull 3
1764 silent 5
1765 interrupted 2
1766 repeated 3
1767 matters 1
1768 explanations 2
1769 misfortunes 1
1770 available 1
1771 lot 3
1772 meantime 1
1773 interest 3
1774 accumulated 1
1775 Besides 1
1776 keeping 2
1777 accumulating 1
1778 Behind 1
1779 nodded 3
1780 enthusiasm 1
1781 unexpected 2
1782 thrift 1
1783 caution 1
1784 surplus 1
1785 reduce 1
1786 freed 1
1787 closer 3
1788 enable 1
1789 maintain 1
1790 emergencies 1
1791 healthy 1
1792 lacking 1
1793 holiday 2
1794 strain 3
1795 slow 5
1796 clumsy 1
1797 elderly 2
1798 suffered 2
1799 asthma 1
1800 struggling 2
1801 sofa 3
1802 child 3
